timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
92536298811667,0.151717,0.415642,1.520019,-2.545660,-38.211805,-6.237472,0.151718,0.415644,1.520018,-2.545659,-38.211803,-6.237472,-0.000000,-0.002377,0.000000,-0.000000,-0.000000,0.000000,-0.020726,-39.486387,-19.788821,-3.929936,1.430512,-0.000596,-0.673680,-0.036325,0.284667,2.471800,0.494085,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536299808058,0.151717,0.415643,1.520018,-2.545658,-38.211802,-6.237472,0.151718,0.415644,1.520018,-2.545659,-38.211803,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.001110,-39.973132,-19.911414,-3.951781,1.439192,-0.000662,-0.673681,-0.036325,0.284668,2.471797,0.494086,-0.489210,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536300778538,0.151716,0.415643,1.520017,-2.545658,-38.211802,-6.237472,0.151718,0.415644,1.520018,-2.545659,-38.211803,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.004626,-39.971207,-19.917063,-3.953117,1.442095,-0.000664,-0.673681,-0.036325,0.284668,2.471797,0.494086,-0.489211,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536301778857,0.151718,0.415643,1.520019,-2.545660,-38.211802,-6.237471,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.002848,-0.008795,-39.966184,-19.917505,-3.953593,1.442465,-0.000708,-0.673681,-0.036325,0.284667,2.471799,0.494086,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536302778462,0.151718,0.415645,1.520018,-2.545659,-38.211804,-6.237473,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,0.002377,0.000000,-0.000000,-0.000000,-0.002848,0.007131,-40.458883,-20.046815,-3.976920,1.454067,-0.000685,-0.673680,-0.036326,0.284666,2.471801,0.494084,-0.489205,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536303780461,0.151717,0.415643,1.520018,-2.545661,-38.211802,-6.237472,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.010558,-39.954417,-19.916998,-3.953561,1.442755,-0.000663,-0.673681,-0.036324,0.284668,2.471800,0.494087,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536304817857,0.151716,0.415645,1.520018,-2.545658,-38.211805,-6.237473,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,0.002377,0.000000,0.002848,-0.002848,0.000000,-0.009361,-40.459661,-20.061340,-3.986149,1.459072,-0.000813,-0.673680,-0.036325,0.284666,2.471801,0.494083,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536305811444,0.151717,0.415644,1.520016,-2.545661,-38.211803,-6.237472,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,-0.002377,-0.000000,-0.000000,0.000000,-0.022432,-39.857075,-19.815761,-3.939260,1.429842,-0.000615,-0.673682,-0.036325,0.284668,2.471799,0.494088,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536306809630,0.151717,0.415645,1.520018,-2.545662,-38.211802,-6.237472,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,0.002377,-0.000000,-0.000000,0.000000,-0.007301,-40.025765,-20.018099,-3.968552,1.456700,-0.000711,-0.673681,-0.036324,0.284666,2.471802,0.494086,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536307815411,0.151717,0.415643,1.520017,-2.545659,-38.211799,-6.237472,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,0.004746,0.000000,-0.012028,-39.922299,-19.906024,-3.951626,1.438835,-0.000661,-0.673682,-0.036325,0.284668,2.471797,0.494090,-0.489211,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536308781896,0.151716,0.415644,1.520017,-2.545661,-38.211802,-6.237472,0.151717,0.415644,1.520018,-2.545659,-38.211803,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,0.000000,-0.021858,-39.925832,-19.922088,-3.955416,1.446540,-0.000664,-0.673681,-0.036324,0.284668,2.471800,0.494088,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536309809413,0.151717,0.415643,1.520016,-2.545660,-38.211805,-6.237472,0.151717,0.415645,1.520017,-2.545659,-38.211802,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,0.000000,-0.025529,-39.916365,-19.921080,-3.955576,1.446758,-0.000664,-0.673681,-0.036325,0.284668,2.471799,0.494086,-0.489206,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536310785004,0.151717,0.415643,1.520019,-2.545658,-38.211802,-6.237472,0.151717,0.415645,1.520017,-2.545659,-38.211802,-6.237473,-0.000000,-0.000000,0.002377,-0.000000,0.002848,0.000000,-0.012262,-39.988291,-20.010231,-3.967489,1.454703,-0.000710,-0.673681,-0.036325,0.284667,2.471798,0.494086,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536311790467,0.151718,0.415645,1.520017,-2.545660,-38.211805,-6.237472,0.151717,0.415645,1.520017,-2.545659,-38.211802,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.027691,-39.900687,-19.915568,-3.954723,1.444557,-0.000662,-0.673681,-0.036326,0.284667,2.471801,0.494084,-0.489206,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536312781699,0.151716,0.415641,1.520019,-2.545660,-38.211804,-6.237472,0.151717,0.415645,1.520017,-2.545659,-38.211802,-6.237473,-0.000000,-0.003962,0.000000,-0.000000,-0.000000,0.000000,-0.056402,-39.063748,-19.700181,-3.915858,1.425736,-0.000551,-0.673680,-0.036324,0.284668,2.471800,0.494087,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536313779201,0.151717,0.415643,1.520017,-2.545659,-38.211799,-6.237473,0.151717,0.415645,1.520017,-2.545659,-38.211802,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,0.003797,0.000000,-0.026370,-39.875934,-19.905986,-3.952773,1.441102,-0.000660,-0.673682,-0.036325,0.284668,2.471797,0.494090,-0.489210,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536314778915,0.151716,0.415645,1.520019,-2.545658,-38.211801,-6.237472,0.151717,0.415646,1.520017,-2.545660,-38.211801,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.031986,-39.875581,-19.915072,-3.954911,1.445209,-0.000663,-0.673681,-0.036324,0.284666,2.471799,0.494085,-0.489211,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536315779001,0.151715,0.415642,1.520018,-2.545662,-38.211801,-6.237473,0.151717,0.415646,1.520016,-2.545660,-38.211801,-6.237473,-0.000000,-0.002377,0.000000,-0.002848,-0.000000,0.000000,-0.038103,-39.358284,-19.775862,-3.923623,1.432010,-0.000514,-0.673681,-0.036323,0.284669,2.471800,0.494090,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536316810390,0.151717,0.415644,1.520018,-2.545660,-38.211804,-6.237472,0.151717,0.415646,1.520016,-2.545660,-38.211801,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.038636,-39.854886,-19.913289,-3.955125,1.445673,-0.000661,-0.673681,-0.036325,0.284667,2.471800,0.494085,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536317813190,0.151718,0.415643,1.520017,-2.545660,-38.211804,-6.237472,0.151717,0.415647,1.520016,-2.545660,-38.211801,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.042865,-39.843109,-19.911951,-3.955257,1.445891,-0.000659,-0.673681,-0.036325,0.284668,2.471800,0.494087,-0.489206,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536318810293,0.151717,0.415643,1.520019,-2.545661,-38.211802,-6.237471,0.151717,0.415647,1.520015,-2.545660,-38.211800,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.044109,-39.833649,-19.912021,-3.955300,1.446152,-0.000659,-0.673681,-0.036324,0.284667,2.471800,0.494086,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536319820692,0.151716,0.415645,1.520018,-2.545660,-38.211802,-6.237473,0.151717,0.415647,1.520015,-2.545660,-38.211800,-6.237473,-0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.383502,-39.849770,-19.928735,-3.913688,1.430750,-0.000856,-0.673681,-0.036324,0.284667,2.471801,0.494087,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536320791558,0.151716,0.415645,1.520017,-2.545660,-38.211801,-6.237473,0.151717,0.415648,1.520015,-2.545660,-38.211799,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.048485,-39.815577,-19.911033,-3.955473,1.446592,-0.000659,-0.673682,-0.036324,0.284667,2.471800,0.494088,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536321813737,0.151716,0.415642,1.520017,-2.545661,-38.211805,-6.237471,0.151716,0.415648,1.520014,-2.545660,-38.211799,-6.237473,-0.000000,-0.002377,0.000000,-0.000000,-0.003797,0.002848,-0.073818,-39.310610,-19.788653,-3.934192,1.439191,-0.000638,-0.673681,-0.036324,0.284668,2.471799,0.494086,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536322780235,0.151717,0.415644,1.520018,-2.545660,-38.211802,-6.237472,0.151716,0.415649,1.520014,-2.545660,-38.211798,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.052616,-39.788578,-19.903587,-3.954409,1.444369,-0.000656,-0.673681,-0.036325,0.284667,2.471800,0.494086,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536323810273,0.151717,0.415643,1.520018,-2.545659,-38.211804,-6.237473,0.151716,0.415649,1.520014,-2.545660,-38.211798,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.059462,-39.778824,-19.908442,-3.955898,1.447430,-0.000656,-0.673681,-0.036325,0.284667,2.471800,0.494086,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536324809250,0.151717,0.415643,1.520018,-2.545659,-38.211802,-6.237472,0.151716,0.415650,1.520013,-2.545660,-38.211797,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,0.003797,0.000000,-0.058053,-39.762463,-19.899712,-3.954125,1.443938,-0.000654,-0.673681,-0.036325,0.284668,2.471799,0.494087,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536325807867,0.151718,0.415643,1.520018,-2.545661,-38.211805,-6.237472,0.151716,0.415651,1.520013,-2.545661,-38.211797,-6.237473,-0.000000,-0.000000,0.000000,-0.000000,-0.003797,0.000000,-0.072184,-39.759274,-19.914706,-3.958127,1.451772,-0.000655,-0.673680,-0.036325,0.284667,2.471801,0.494086,-0.489204,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536326778778,0.151717,0.415643,1.520019,-2.545659,-38.211803,-6.237472,0.151716,0.415651,1.520012,-2.545661,-38.211796,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.069570,-39.742712,-19.906344,-3.956306,1.448288,-0.000654,-0.673680,-0.036325,0.284667,2.471799,0.494085,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536327778901,0.151716,0.415644,1.520017,-2.545660,-38.211800,-6.237473,0.151715,0.415652,1.520011,-2.545661,-38.211795,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.068104,-39.727724,-19.899274,-3.954824,1.445630,-0.000652,-0.673682,-0.036324,0.284668,2.471799,0.494089,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536328778415,0.151717,0.415645,1.520019,-2.545658,-38.211802,-6.237472,0.151715,0.415653,1.520011,-2.545661,-38.211795,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.076681,-39.720290,-19.905418,-3.956723,1.448925,-0.000653,-0.673681,-0.036325,0.284666,2.471799,0.494084,-0.489209,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536329778387,0.151718,0.415644,1.520020,-2.545659,-38.211803,-6.237472,0.151715,0.415654,1.520010,-2.545661,-38.211794,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.081840,-39.705439,-19.904323,-3.956939,1.449275,-0.000651,-0.673680,-0.036325,0.284666,2.471800,0.494084,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536330779022,0.151715,0.415645,1.520018,-2.545658,-38.211803,-6.237472,0.151715,0.415655,1.520009,-2.545661,-38.211793,-6.237474,-0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.347603,-39.716431,-19.920037,-3.914933,1.433732,-0.000849,-0.673681,-0.036324,0.284666,2.471799,0.494084,-0.489211,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536331808554,0.151719,0.415645,1.520018,-2.545660,-38.211802,-6.237472,0.151715,0.415655,1.520009,-2.545662,-38.211792,-6.237474,0.003962,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.807388,-39.639937,-19.874067,-4.026949,1.475967,-0.000319,-0.673681,-0.036326,0.284667,2.471800,0.494086,-0.489205,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536332809066,0.151718,0.415645,1.520018,-2.545659,-38.211802,-6.237472,0.151714,0.415656,1.520008,-2.545662,-38.211791,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.093547,-39.664592,-19.901054,-3.957293,1.450111,-0.000647,-0.673681,-0.036325,0.284667,2.471800,0.494086,-0.489207,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536333784096,0.151717,0.415644,1.520020,-2.545660,-38.211801,-6.237472,0.151714,0.415657,1.520007,-2.545662,-38.211790,-6.237474,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.096151,-39.648891,-19.900220,-3.957274,1.450401,-0.000647,-0.673681,-0.036324,0.284667,2.471801,0.494086,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536334808445,0.151717,0.415645,1.520018,-2.545660,-38.211802,-6.237472,0.151714,0.415659,1.520006,-2.545662,-38.211789,-6.237475,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.100336,-39.635080,-19.898895,-3.957387,1.450668,-0.000646,-0.673681,-0.036325,0.284667,2.471800,0.494086,-0.489208,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
92536335813974,0.151716,0.415644,1.520016,-2.545659,-38.211803,-6.237471,0.151714,0.415660,1.520005,-2.545662,-38.211788,-6.237475,-0.000000,-0.000000,-0.002377,-0.000000,-0.000000,0.000000,-0.111732,-39.531818,-19.796069,-3.942728,1.437546,-0.000597,-0.673682,-0.036325,0.284668,2.471797,0.494086,-0.489211,-0.932532,0.172712,0.166202,2.418364,0.996865,-0.850259,5
