timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
532822355445517,0.552383,-0.117209,7.031813,-5.698829,-0.000018,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-5.447423,-11.387098,3.071291,-1.420015,0.000557,-0.094349,-0.241566,1.272564,0
532822356443974,0.552383,-0.117209,7.031814,-5.698830,-0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-5.447444,-11.387119,3.071296,-1.420018,0.000557,-0.094349,-0.241566,1.272564,0
532822357419733,0.552383,-0.117208,7.031813,-5.698829,-0.000016,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-5.447540,-11.387135,3.071299,-1.420023,0.000557,-0.094349,-0.241566,1.272564,0
532822358444394,0.552382,-0.117208,7.031815,-5.698826,-0.000015,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.000000,-5.447564,-11.387159,3.071301,-1.420025,0.000557,-0.094349,-0.241566,1.272564,0
532822359445986,0.552383,-0.117208,7.031814,-5.698830,-0.000016,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.003797,-0.000000,0.000000,0.000000,-5.447561,-11.387156,3.071305,-1.420025,0.000557,-0.094349,-0.241566,1.272564,0
532822360443610,0.552383,-0.117208,7.031815,-5.698828,-0.000014,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.002377,-0.000000,-0.000000,0.000000,0.000000,-5.447534,-11.387169,3.071306,-1.420029,0.000557,-0.094349,-0.241566,1.272564,0
532822361454834,0.552383,-0.117208,7.031813,-5.698831,-0.000018,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.002377,-0.002848,-0.000000,0.000000,0.000000,-5.447545,-11.387140,3.071302,-1.420020,0.000557,-0.094349,-0.241566,1.272564,0
532822362419337,0.552383,-0.117208,7.031815,-5.698827,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.000000,-5.447511,-11.387146,3.071300,-1.420025,0.000557,-0.094349,-0.241566,1.272564,0
532822363443513,0.552383,-0.117207,7.031813,-5.698826,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-5.447587,-11.387142,3.071298,-1.420024,0.000557,-0.094349,-0.241566,1.272564,0
532822364442419,0.552382,-0.117208,7.031813,-5.698829,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-5.447482,-11.387116,3.071295,-1.420019,0.000557,-0.094349,-0.241566,1.272564,0
