timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
45935197706728,6.378945,-0.017295,-0.019969,-6.327151,-31.451998,-6.237491,6.378948,-0.017291,-0.019958,-6.327153,-31.452003,-6.237491,-0.000000,-0.000000,0.003169,-0.000000,-0.003797,0.002848,-0.069878,2.098733,0.907073,-0.274840,0.235762,-0.000184,0.052310,-0.182631,1.396689,5
45935198712078,6.378943,-0.017295,-0.019971,-6.327151,-31.451997,-6.237491,6.378948,-0.017290,-0.019956,-6.327153,-31.452004,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.108942,2.390707,1.045776,-0.307248,0.255913,-0.000147,0.052310,-0.182631,1.396689,5
45935199676652,6.378945,-0.017295,-0.019969,-6.327153,-31.451998,-6.237491,6.378948,-0.017290,-0.019955,-6.327153,-31.452005,-6.237491,-0.000000,-0.000000,0.002377,-0.002848,-0.000000,0.000000,-0.081039,2.204940,0.951596,-0.281694,0.240316,-0.000049,0.052309,-0.182631,1.396689,5
45935200677249,6.378944,-0.017296,-0.019970,-6.327152,-31.451998,-6.237492,6.378948,-0.017289,-0.019953,-6.327153,-31.452006,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.121300,2.482283,1.082963,-0.316188,0.261351,-0.000150,0.052311,-0.182631,1.396689,5
45935201707684,6.378945,-0.017295,-0.019970,-6.327149,-31.451999,-6.237492,6.378948,-0.017288,-0.019951,-6.327153,-31.452007,-6.237491,-0.000000,0.002377,0.000000,0.003797,-0.000000,0.000000,-0.022926,1.720422,0.817379,-0.255523,0.223856,-0.000252,0.052311,-0.182631,1.396689,5
45935202708319,6.378946,-0.017295,-0.019969,-6.327152,-31.451995,-6.237493,6.378948,-0.017287,-0.019949,-6.327153,-31.452008,-6.237491,-0.000000,0.003169,0.000000,-0.000000,-0.000000,0.000000,0.018134,1.445473,0.717149,-0.225950,0.209326,-0.000122,0.052309,-0.182631,1.396689,5
45935203719405,6.378945,-0.017295,-0.019972,-6.327152,-31.451998,-6.237494,6.378948,-0.017287,-0.019947,-6.327153,-31.452009,-6.237491,-0.000000,-0.000000,-0.002377,-0.000000,-0.002848,0.000000,-0.168293,2.831296,1.244321,-0.354145,0.288390,-0.000164,0.052312,-0.182631,1.396689,5
45935204707354,6.378944,-0.017294,-0.019969,-6.327152,-31.451995,-6.237493,6.378948,-0.017286,-0.019945,-6.327153,-31.452010,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.144617,2.657312,1.155150,-0.333473,0.271914,-0.000155,0.052307,-0.182631,1.396689,5
45935205706905,6.378943,-0.017295,-0.019970,-6.327151,-31.451998,-6.237493,6.378948,-0.017285,-0.019942,-6.327153,-31.452011,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,0.000000,-0.153018,2.722184,1.183665,-0.340194,0.277879,-0.000157,0.052310,-0.182631,1.396689,5
45935206706827,6.378945,-0.017296,-0.019969,-6.327152,-31.451996,-6.237492,6.378948,-0.017284,-0.019940,-6.327153,-31.452012,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.159101,2.764782,1.198744,-0.343976,0.278302,-0.000159,0.052310,-0.182631,1.396689,5
