timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
574140265727390,-4.110966,-0.102829,6.352690,0.215762,-0.000028,-0.000001,-4.111268,-0.103130,6.352989,0.216062,-0.000250,0.000298,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.280875,-15.563025,-5.092409,1.178261,-0.841550,-0.002621,0.091084,0.189380,1.323496,4
574140266730636,-4.110966,-0.102830,6.352691,0.215760,-0.000029,0.000000,-4.111368,-0.103230,6.353089,0.216162,-0.000323,0.000398,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.283362,-15.781803,-5.161377,1.191492,-0.850501,-0.002646,0.091084,0.189380,1.323496,4
574140267696786,-4.110968,-0.102828,6.352690,0.215762,-0.000029,-0.000001,-4.111468,-0.103330,6.353189,0.216262,-0.000397,0.000498,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.287273,-16.008414,-5.232893,1.205377,-0.859803,-0.002670,0.091084,0.189379,1.323497,4
574140268744442,-4.110965,-0.102831,6.352687,0.215761,-0.000028,0.000001,-4.111568,-0.103430,6.353289,0.216362,-0.000470,0.000598,0.003169,-0.002377,-0.002377,-0.000000,-0.000000,0.000000,0.035836,-14.976080,-4.827210,1.089684,-0.799941,-0.002885,0.091082,0.189382,1.323496,4
574140269732879,-4.110966,-0.102834,6.352687,0.215763,-0.000027,0.000001,-4.111668,-0.103530,6.353389,0.216462,-0.000544,0.000698,-0.000000,-0.003169,0.000000,-0.000000,-0.000000,0.000000,0.141058,-15.304046,-4.961662,1.133648,-0.821050,-0.002752,0.091080,0.189385,1.323496,4
574140270726491,-4.110966,-0.102839,6.352683,0.215763,-0.000028,0.000001,-4.111768,-0.103630,6.353489,0.216562,-0.000617,0.000798,-0.000000,-0.003962,-0.002377,-0.000000,-0.000000,0.000000,0.077086,-15.018986,-4.822924,1.098356,-0.799275,-0.002794,0.091075,0.189392,1.323495,4
574140271726499,-4.110966,-0.102849,6.352679,0.215764,-0.000028,0.000001,-4.111868,-0.103730,6.353589,0.216662,-0.000691,0.000898,-0.000000,-0.009508,-0.003962,-0.000000,-0.000000,0.000000,-0.202443,-13.102383,-4.109310,0.924804,-0.698548,-0.002880,0.091068,0.189402,1.323494,4
574140272725171,-4.110967,-0.102861,6.352672,0.215764,-0.000032,-0.000001,-4.111968,-0.103830,6.353689,0.216762,-0.000764,0.000998,-0.000000,-0.011885,-0.006339,-0.000000,-0.003797,0.000000,-0.345637,-12.215762,-3.751718,0.837198,-0.644048,-0.002938,0.091059,0.189416,1.323492,4
574140273725958,-4.110967,-0.102873,6.352664,0.215765,-0.000033,-0.000001,-4.112068,-0.103930,6.353789,0.216862,-0.000838,0.001098,-0.000000,-0.012678,-0.008716,-0.000000,-0.000000,0.000000,-0.411030,-11.918177,-3.611389,0.801447,-0.624437,-0.002979,0.091048,0.189431,1.323490,4
574140274722147,-4.110966,-0.102889,6.352656,0.215766,-0.000032,0.000000,-4.112168,-0.104030,6.353889,0.216962,-0.000911,0.001198,-0.000000,-0.015847,-0.007923,-0.000000,-0.000000,0.000000,-0.556432,-11.018478,-3.287924,0.720145,-0.579646,-0.003035,0.091037,0.189448,1.323488,4
574140275729059,-4.110967,-0.102906,6.352650,0.215766,-0.000037,0.000001,-4.112268,-0.104130,6.353989,0.217062,-0.000985,0.001298,-0.000000,-0.016639,-0.005546,-0.000000,-0.004746,0.000000,-0.575671,-11.074128,-3.320198,0.723435,-0.582377,-0.003063,0.091024,0.189465,1.323486,4
574140276720993,-4.110967,-0.102923,6.352643,0.215767,-0.000038,0.000002,-4.112368,-0.104230,6.354089,0.217162,-0.001059,0.001398,-0.000000,-0.017432,-0.007131,-0.000000,-0.000000,0.000000,-0.633725,-10.831903,-3.209635,0.694366,-0.568143,-0.003101,0.091012,0.189484,1.323484,4
574140277721335,-4.110968,-0.102942,6.352637,0.215769,-0.000042,0.000000,-4.112468,-0.104330,6.354189,0.217262,-0.001133,0.001498,-0.000000,-0.019016,-0.006339,-0.000000,-0.003797,0.000000,-0.708315,-10.467613,-3.074568,0.658347,-0.547022,-0.003142,0.090998,0.189503,1.323481,4
574140278725345,-4.110968,-0.102962,6.352629,0.215767,-0.000045,0.000000,-4.112568,-0.104430,6.354289,0.217362,-0.001206,0.001598,-0.000000,-0.019809,-0.007923,-0.000000,-0.002848,0.000000,-0.769989,-10.199694,-2.951382,0.626357,-0.528623,-0.003182,0.090984,0.189524,1.323479,4
574140279725513,-4.110968,-0.102984,6.352623,0.215765,-0.000049,0.000000,-4.112668,-0.104530,6.354389,0.217462,-0.001280,0.001698,-0.000000,-0.021393,-0.006339,-0.000000,-0.004746,0.000000,-0.835860,-9.902018,-2.850787,0.598147,-0.514110,-0.003219,0.090969,0.189546,1.323476,4
574140280728196,-4.110967,-0.103004,6.352615,0.215764,-0.000050,0.000001,-4.112768,-0.104630,6.354489,0.217562,-0.001354,0.001798,-0.000000,-0.020601,-0.007131,-0.000000,-0.000000,0.000000,-0.812756,-10.276523,-2.969876,0.623675,-0.532322,-0.003240,0.090954,0.189567,1.323474,4
574140281727093,-4.110967,-0.103026,6.352609,0.215762,-0.000057,0.000001,-4.112868,-0.104730,6.354589,0.217662,-0.001428,0.001898,-0.000000,-0.021393,-0.006339,-0.002848,-0.006645,0.000000,-0.846010,-10.200635,-2.938626,0.616288,-0.524068,-0.003240,0.090939,0.189588,1.323471,4
