timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
91198529810437,0.722659,0.576913,2.178337,-2.916845,-36.961722,-6.237472,0.722658,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.056869,-36.176337,-9.055009,-2.387226,2.582099,-0.001496,-0.597934,-0.234534,0.206367,2.864489,1.097199,0.245795,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198530812130,0.722659,0.576913,2.178339,-2.916844,-36.961722,-6.237471,0.722658,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.062926,-36.175258,-9.055427,-2.386957,2.582212,-0.001494,-0.597933,-0.234532,0.206367,2.864489,1.097197,0.245792,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198531811421,0.722658,0.576913,2.178340,-2.916845,-36.961725,-6.237473,0.722658,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,-0.002848,-0.069795,-36.180520,-9.061168,-2.387707,2.585109,-0.001447,-0.597933,-0.234532,0.206366,2.864497,1.097195,0.245801,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198532809126,0.722658,0.576913,2.178338,-2.916845,-36.961724,-6.237472,0.722658,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.077626,-36.172295,-9.054528,-2.385782,2.582241,-0.001488,-0.597933,-0.234532,0.206367,2.864493,1.097197,0.245797,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198533815335,0.722659,0.576911,2.178338,-2.916846,-36.961722,-6.237472,0.722658,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.087386,-36.168123,-9.053550,-2.384906,2.582111,-0.001484,-0.597934,-0.234533,0.206368,2.864490,1.097200,0.245797,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198534810335,0.722659,0.576914,2.178337,-2.916845,-36.961721,-6.237472,0.722657,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,0.002377,0.000000,-0.000000,-0.000000,0.000000,-0.076308,-36.532526,-9.110344,-2.395913,2.603901,-0.001459,-0.597934,-0.234533,0.206367,2.864490,1.097199,0.245795,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198535808109,0.722660,0.576912,2.178341,-2.916845,-36.961724,-6.237472,0.722657,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.003169,-0.000000,-0.002848,0.000000,-0.083829,-36.223306,-9.182529,-2.416228,2.602031,-0.001457,-0.597932,-0.234533,0.206366,2.864495,1.097195,0.245801,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198536807583,0.722659,0.576912,2.178339,-2.916845,-36.961721,-6.237471,0.722657,0.576912,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.115339,-36.157819,-9.046970,-2.381681,2.579527,-0.001473,-0.597933,-0.234533,0.206368,2.864488,1.097199,0.245793,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198537807557,0.722658,0.576914,2.178338,-2.916844,-36.961720,-6.237472,0.722657,0.576913,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.123036,-36.164967,-9.052459,-2.382364,2.582465,-0.001472,-0.597934,-0.234532,0.206367,2.864491,1.097199,0.245794,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
91198538797039,0.722659,0.576913,2.178340,-2.916845,-36.961724,-6.237471,0.722656,0.576913,2.178339,-2.916843,-36.961720,-6.237471,-0.000000,-0.000000,0.002377,-0.000000,-0.003797,0.000000,-0.118130,-36.208554,-9.152133,-2.406600,2.598908,-0.001453,-0.597933,-0.234533,0.206366,2.864491,1.097195,0.245796,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
