timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
5015156592205,0.149408,-0.015116,1.466232,-3.104768,-37.531410,-6.237468,0.146333,-0.019376,1.476416,-3.372872,-37.672644,-6.237467,-0.000000,-0.012678,-0.484123,-0.467978,-0.000000,0.000000,-3.266638,-38.714488,-30.973126,-11.500476,3.108578,-0.088119,-0.647266,0.085816,0.868980,0.276212,1.271871,-2.710248,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015157559611,0.149407,-0.015129,1.465751,-3.105219,-37.531413,-6.237467,0.146330,-0.019392,1.475928,-3.373381,-37.672809,-6.237467,-0.000000,-0.013470,-0.480954,-0.470826,-0.003797,0.000000,-3.267126,-38.646600,-31.022937,-11.508032,3.117057,-0.088037,-0.647190,0.085808,0.869375,0.274294,1.271524,-2.712135,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015158560005,0.149407,-0.015143,1.465270,-3.105683,-37.531419,-6.237468,0.146326,-0.019408,1.475441,-3.373890,-37.672974,-6.237467,-0.000000,-0.014262,-0.480954,-0.464181,-0.005695,0.000000,-3.265517,-38.474896,-30.981329,-11.506767,3.109404,-0.088240,-0.647112,0.085800,0.869772,0.272332,1.271181,-2.714066,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015159587728,0.149408,-0.015154,1.464811,-3.106154,-37.531422,-6.237467,0.146323,-0.019424,1.474954,-3.374398,-37.673139,-6.237467,-0.000000,-0.011093,-0.476992,-0.470826,-0.002848,0.000000,-3.282027,-39.360738,-31.311981,-11.574872,3.163289,-0.088054,-0.647038,0.085790,0.870155,0.270380,1.270859,-2.715986,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015160587620,0.149407,-0.015167,1.464335,-3.106600,-37.531426,-6.237467,0.146319,-0.019440,1.474468,-3.374905,-37.673304,-6.237467,-0.002377,-0.012678,-0.476200,-0.466080,-0.003797,0.000000,-3.017803,-39.015333,-31.234734,-11.564976,3.146322,-0.088109,-0.646961,0.085782,0.870546,0.268492,1.270513,-2.717844,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015161587188,0.149408,-0.015181,1.463877,-3.107072,-37.531428,-6.237467,0.146315,-0.019456,1.473983,-3.375412,-37.673468,-6.237467,-0.000000,-0.014262,-0.476992,-0.472724,-0.000000,0.000000,-3.269835,-38.556156,-31.039771,-11.507981,3.112548,-0.087968,-0.646885,0.085773,0.870931,0.266536,1.270186,-2.719769,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015162589796,0.149407,-0.015196,1.463361,-3.107560,-37.531429,-6.237468,0.146312,-0.019472,1.473498,-3.375919,-37.673632,-6.237467,-0.002377,-0.016639,-0.478577,-0.470826,-0.000000,0.000000,-2.999468,-37.871526,-30.772942,-11.449340,3.063734,-0.087904,-0.646801,0.085764,0.871356,0.264480,1.269807,-2.721794,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015163559778,0.149408,-0.015209,1.462909,-3.108033,-37.531430,-6.237469,0.146308,-0.019488,1.473013,-3.376425,-37.673796,-6.237467,-0.000000,-0.013470,-0.473823,-0.472724,-0.000000,0.000000,-3.276638,-38.836310,-31.171326,-11.537486,3.132319,-0.087961,-0.646725,0.085754,0.871737,0.262536,1.269485,-2.723708,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015164588160,0.149408,-0.015226,1.462418,-3.108506,-37.531430,-6.237466,0.146304,-0.019504,1.472529,-3.376930,-37.673960,-6.237467,-0.000000,-0.016639,-0.473823,-0.472724,-0.000000,0.002848,-3.264017,-38.042853,-30.918835,-11.477878,3.087419,-0.087979,-0.646642,0.085746,0.872146,0.260568,1.269117,-2.725644,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015165559916,0.149407,-0.015241,1.461969,-3.108984,-37.531427,-6.237468,0.146301,-0.019520,1.472045,-3.377435,-37.674124,-6.237467,-0.000000,-0.015055,-0.467484,-0.478420,0.002848,0.000000,-3.274103,-38.655629,-31.241290,-11.545131,3.138374,-0.087771,-0.646565,0.085737,0.872528,0.258610,1.268792,-2.727574,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015166587601,0.149407,-0.015257,1.461512,-3.109437,-37.531428,-6.237469,0.146297,-0.019536,1.471562,-3.377939,-37.674288,-6.237467,-0.000000,-0.018224,-0.476200,-0.474623,-0.000000,-0.003797,-3.256151,-37.514377,-30.670135,-11.416057,3.043589,-0.087785,-0.646487,0.085729,0.872910,0.256736,1.268454,-2.729420,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015167592922,0.149408,-0.015273,1.461014,-3.109933,-37.531424,-6.237467,0.146294,-0.019552,1.471079,-3.378443,-37.674451,-6.237467,-0.000000,-0.019809,-0.476200,-0.479369,-0.000000,0.000000,-3.250445,-37.068678,-30.499723,-11.368947,3.013570,-0.087669,-0.646402,0.085719,0.873327,0.254695,1.268080,-2.731429,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015168591006,0.149408,-0.015291,1.460555,-3.110396,-37.531421,-6.237465,0.146290,-0.019568,1.470597,-3.378946,-37.674614,-6.237467,-0.000000,-0.019016,-0.482538,-0.479369,-0.000000,0.003797,-3.249314,-36.946759,-30.273380,-11.315548,2.976584,-0.087708,-0.646322,0.085711,0.873715,0.252801,1.267734,-2.733293,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015169606009,0.149408,-0.015308,1.460040,-3.110918,-37.531417,-6.237467,0.146286,-0.019584,1.470115,-3.379449,-37.674777,-6.237467,-0.000000,-0.016639,-0.474615,-0.483166,0.002848,0.000000,-3.264010,-37.790775,-30.693140,-11.407457,3.043868,-0.087539,-0.646233,0.085701,0.874148,0.250660,1.267348,-2.735403,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5015170588253,0.149406,-0.015330,1.459568,-3.111387,-37.531412,-6.237468,0.146283,-0.019599,1.469634,-3.379952,-37.674940,-6.237467,-0.000000,-0.021393,-0.471446,-0.489811,0.004746,0.000000,-3.244391,-36.714024,-30.425621,-11.335497,2.994163,-0.087299,-0.646149,0.085694,0.874547,0.248731,1.266985,-2.737305,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
