timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
5197161560395,0.356286,0.084703,1.803358,-3.045172,-37.535204,-6.237467,0.338801,0.066405,1.811222,-2.933870,-37.689683,-6.237467,-0.582374,-0.251966,0.222649,0.309454,-0.000000,0.000000,-20.176233,-49.773658,-17.605321,-2.835581,1.738292,0.037345,-0.682064,-0.058227,0.576223,2.415260,1.364039,-0.396647,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197162588860,0.355679,0.084447,1.803597,-3.044847,-37.535203,-6.237467,0.338221,0.066164,1.811411,-2.933532,-37.689864,-6.237467,-0.581582,-0.255928,0.228195,0.309454,-0.000000,0.000000,-20.136439,-49.095264,-17.650683,-2.849479,1.737062,0.037338,-0.681980,-0.057758,0.576187,2.414104,1.363841,-0.398487,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197163590886,0.355123,0.084192,1.803812,-3.044546,-37.535205,-6.237467,0.337641,0.065923,1.811600,-2.933195,-37.690045,-6.237467,-0.579205,-0.254343,0.223441,0.314200,-0.000000,0.000000,-20.375080,-49.184532,-17.536552,-2.826075,1.724065,0.037225,-0.681899,-0.057326,0.576167,2.412961,1.363672,-0.400255,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197164592209,0.354565,0.083948,1.804028,-3.044238,-37.535206,-6.237467,0.337061,0.065683,1.811789,-2.932857,-37.690225,-6.237467,-0.583166,-0.253551,0.222649,0.307556,-0.000000,0.000000,-19.844601,-49.239726,-17.530042,-2.825849,1.716676,0.037357,-0.681819,-0.056895,0.576138,2.411839,1.363491,-0.402007,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197165603370,0.353961,0.083680,1.804264,-3.043927,-37.535205,-6.237467,0.336482,0.065442,1.811978,-2.932520,-37.690406,-6.237467,-0.581582,-0.256720,0.227403,0.311353,-0.000000,0.000000,-19.900099,-48.676511,-17.587848,-2.845710,1.719874,0.037245,-0.681732,-0.056428,0.576113,2.410686,1.363312,-0.403836,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197166588934,0.353358,0.083424,1.804503,-3.043602,-37.535206,-6.237468,0.335903,0.065202,1.812166,-2.932184,-37.690586,-6.237467,-0.580789,-0.256720,0.228195,0.313251,-0.000000,0.000000,-19.872316,-48.626028,-17.633607,-2.861094,1.726144,0.037174,-0.681646,-0.055962,0.576076,2.409547,1.363112,-0.405655,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197167588413,0.352806,0.083169,1.804732,-3.043297,-37.535208,-6.237469,0.335326,0.064963,1.812355,-2.931848,-37.690766,-6.237467,-0.575243,-0.255135,0.228195,0.304708,-0.000000,0.000000,-20.494856,-48.808628,-17.640123,-2.841959,1.738552,0.037530,-0.681560,-0.055533,0.576047,2.408449,1.362931,-0.407376,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197168587568,0.352204,0.082911,1.804957,-3.042990,-37.535210,-6.237468,0.334748,0.064723,1.812543,-2.931512,-37.690946,-6.237467,-0.579205,-0.257512,0.225026,0.307556,-0.002848,0.000000,-19.904707,-48.186764,-17.439429,-2.810626,1.693959,0.037365,-0.681477,-0.055070,0.576022,2.407321,1.362751,-0.409177,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197169590223,0.351628,0.082660,1.805189,-3.042678,-37.535208,-6.237468,0.334172,0.064484,1.812730,-2.931176,-37.691125,-6.237467,-0.576035,-0.251174,0.232157,0.311353,-0.000000,0.000000,-20.173315,-49.568873,-18.032474,-2.949797,1.803370,0.037254,-0.681392,-0.054624,0.575988,2.406216,1.362562,-0.410932,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
5197170588562,0.351076,0.082405,1.805419,-3.042374,-37.535207,-6.237468,0.333596,0.064245,1.812918,-2.930841,-37.691305,-6.237467,-0.576827,-0.255135,0.229780,0.304708,-0.000000,0.000000,-20.032700,-48.618707,-17.721293,-2.872929,1.742938,0.037457,-0.681305,-0.054196,0.575960,2.405114,1.362381,-0.412657,-0.609847,0.080831,0.494832,-2.839525,1.512086,0.858102,5
