timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
92179824823887,0.601455,0.650661,2.078293,-3.038562,-37.018253,-6.237470,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.026301,-40.357916,-10.232549,-2.492582,2.558528,-0.001510,-0.655680,-0.210051,0.192092,2.966047,1.083870,0.330383,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179825812134,0.601454,0.650662,2.078294,-3.038563,-37.018254,-6.237471,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.030855,-40.358893,-10.232816,-2.492281,2.558641,-0.001508,-0.655680,-0.210051,0.192091,2.966051,1.083868,0.330387,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179826807927,0.601454,0.650661,2.078293,-3.038565,-37.018257,-6.237472,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,0.000000,-0.035827,-40.363978,-10.238086,-2.492958,2.561332,-0.001507,-0.655680,-0.210051,0.192091,2.966054,1.083867,0.330392,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179827812528,0.601455,0.650660,2.078293,-3.038564,-37.018252,-6.237471,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,0.004746,0.000000,-0.045905,-40.341504,-10.220728,-2.488696,2.553624,-0.001500,-0.655680,-0.210052,0.192093,2.966049,1.083873,0.330387,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179828808867,0.601454,0.650660,2.078292,-3.038562,-37.018253,-6.237471,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,0.002848,-0.000000,0.000000,-0.038751,-40.358506,-10.244234,-2.498819,2.559960,-0.001573,-0.655681,-0.210051,0.192093,2.966047,1.083872,0.330381,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179829811228,0.601454,0.650661,2.078294,-3.038562,-37.018256,-6.237471,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.002848,0.000000,-0.056811,-40.362061,-10.237230,-2.491297,2.561337,-0.001500,-0.655680,-0.210050,0.192091,2.966050,1.083867,0.330385,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179830809800,0.601456,0.650662,2.078292,-3.038563,-37.018255,-6.237472,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.482972,-40.329790,-10.196629,-2.451952,2.557601,-0.001358,-0.655680,-0.210052,0.192091,2.966054,1.083869,0.330392,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179831814508,0.601456,0.650661,2.078291,-3.038562,-37.018253,-6.237472,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.077172,-40.352663,-10.228921,-2.488080,2.558326,-0.001491,-0.655681,-0.210052,0.192093,2.966050,1.083872,0.330387,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179832809953,0.601454,0.650661,2.078294,-3.038562,-37.018253,-6.237471,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.002377,-0.000000,-0.000000,0.000000,-0.066059,-40.402143,-10.322941,-2.510717,2.571986,-0.001487,-0.655680,-0.210051,0.192092,2.966049,1.083869,0.330385,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
92179833809120,0.601454,0.650661,2.078292,-3.038562,-37.018253,-6.237472,0.601454,0.650661,2.078292,-3.038564,-37.018255,-6.237472,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.090262,-40.351379,-10.228505,-2.487037,2.558341,-0.001486,-0.655681,-0.210051,0.192092,2.966050,1.083871,0.330385,-0.598034,0.373525,0.171738,2.901870,1.030328,-0.653255,5
