timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
49418017785376,2.971570,1.802635,-0.864904,-11.120429,-37.661128,-6.237491,2.971570,1.802462,-0.864898,-11.120430,-37.661128,-6.237493,-0.000000,0.016639,0.000000,-0.000000,0.002848,0.000000,-0.310552,-69.126884,-17.159594,0.801178,-0.413123,-0.000245,0.847666,-0.107461,0.724600,-0.940270,-0.086231,-1.757026,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418018784666,2.971569,1.802648,-0.864907,-11.120430,-37.661130,-6.237491,2.971570,1.802462,-0.864898,-11.120430,-37.661128,-6.237493,-0.000000,0.015055,-0.003169,-0.000000,-0.000000,0.000000,-0.345841,-68.502640,-16.873076,0.792744,-0.406829,-0.000239,0.847670,-0.107463,0.724589,-0.940280,-0.086231,-1.757029,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418019784527,2.971570,1.802663,-0.864908,-11.120430,-37.661128,-6.237492,2.971569,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.015055,0.000000,-0.000000,-0.000000,0.000000,-0.389477,-68.758385,-17.035729,0.802333,-0.412321,-0.000259,0.847676,-0.107462,0.724578,-0.940294,-0.086234,-1.757026,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418020784647,2.971569,1.802678,-0.864911,-11.120430,-37.661131,-6.237491,2.971569,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.015055,-0.003169,-0.000000,-0.002848,0.000000,-0.428742,-68.599223,-16.906485,0.800195,-0.409498,-0.000261,0.847680,-0.107465,0.724566,-0.940306,-0.086232,-1.757028,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418021789877,2.971569,1.802690,-0.864912,-11.120433,-37.661128,-6.237491,2.971568,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.012678,0.000000,-0.002848,0.002848,0.000000,-0.513477,-68.166868,-16.837976,0.810951,-0.417816,-0.000176,0.847685,-0.107465,0.724556,-0.940317,-0.086236,-1.757027,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418022814137,2.971570,1.802705,-0.864914,-11.120430,-37.661127,-6.237493,2.971568,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.014262,0.000000,0.003797,-0.000000,0.000000,-0.506288,-68.665832,-17.004888,0.804164,-0.416349,-0.000411,0.847690,-0.107465,0.724544,-0.940330,-0.086235,-1.757023,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418023785508,2.971570,1.802718,-0.864918,-11.120430,-37.661129,-6.237491,2.971567,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.013470,-0.003962,-0.000000,-0.000000,0.000000,-0.599627,-68.226731,-16.763409,0.809788,-0.417597,-0.000286,0.847694,-0.107466,0.724535,-0.940339,-0.086234,-1.757023,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418024813671,2.971568,1.802733,-0.864920,-11.120430,-37.661128,-6.237491,2.971567,1.802462,-0.864899,-11.120430,-37.661128,-6.237493,-0.000000,0.015055,0.000000,-0.000000,-0.000000,0.000000,-0.639905,-68.997328,-17.119001,0.826380,-0.426892,-0.000316,0.847699,-0.107468,0.724522,-0.940353,-0.086234,-1.757022,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418025815158,2.971568,1.802745,-0.864921,-11.120432,-37.661128,-6.237490,2.971566,1.802462,-0.864900,-11.120430,-37.661128,-6.237494,-0.000000,0.011885,-0.003169,-0.000000,0.002848,0.000000,-0.716560,-67.914305,-16.678486,0.817004,-0.424064,-0.000304,0.847703,-0.107469,0.724513,-0.940363,-0.086235,-1.757022,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
49418026815680,2.971569,1.802757,-0.864921,-11.120429,-37.661130,-6.237491,2.971565,1.802462,-0.864900,-11.120430,-37.661128,-6.237494,0.003169,0.012678,0.000000,-0.000000,-0.000000,0.000000,-1.950000,-68.394042,-16.900996,0.926984,-0.489756,-0.000534,0.847708,-0.107470,0.724503,-0.940375,-0.086231,-1.757020,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,5
