timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
5411113591798,0.559555,0.206657,1.260973,-2.883612,-37.483755,-6.237470,0.578044,0.220877,1.260023,-3.245795,-37.476197,-6.237467,0.529287,0.237704,-0.137868,-0.368307,-0.000000,-0.004746,22.401848,-22.540038,-29.016524,-11.644206,2.634865,-0.111414,-0.718095,-0.225938,0.820756,0.767625,1.131348,-1.821821,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411114590090,0.560086,0.206898,1.260844,-2.883966,-37.483757,-6.237468,0.578557,0.221099,1.259959,-3.246283,-37.476190,-6.237467,0.530871,0.240873,-0.134699,-0.368307,-0.000000,0.000000,22.056707,-23.627642,-29.403641,-11.749987,2.711183,-0.111626,-0.718064,-0.226382,0.820730,0.767213,1.131672,-1.821699,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411115592856,0.560616,0.207138,1.260705,-2.884347,-37.483757,-6.237467,0.579069,0.221321,1.259894,-3.246769,-37.476184,-6.237467,0.530079,0.240081,-0.134699,-0.366409,-0.000000,0.000000,22.082121,-23.514447,-29.351265,-11.742223,2.703466,-0.111698,-0.718031,-0.226824,0.820716,0.766733,1.132006,-1.821642,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411116589655,0.561142,0.207375,1.260570,-2.884714,-37.483758,-6.237466,0.579581,0.221542,1.259829,-3.247255,-37.476178,-6.237467,0.526117,0.236911,-0.134699,-0.366409,-0.000000,0.000000,22.609311,-22.752925,-29.103152,-11.671588,2.647054,-0.111568,-0.717998,-0.227262,0.820700,0.766279,1.132331,-1.821564,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411117588950,0.561673,0.207617,1.260436,-2.885084,-37.483758,-6.237468,0.580092,0.221764,1.259765,-3.247741,-37.476172,-6.237467,0.530871,0.241665,-0.133906,-0.370206,-0.000000,0.000000,21.770720,-24.117371,-29.496880,-11.787124,2.741790,-0.111720,-0.717965,-0.227705,0.820680,0.765821,1.132664,-1.821486,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411118587306,0.562226,0.207867,1.260307,-2.885455,-37.483757,-6.237468,0.580602,0.221985,1.259700,-3.248226,-37.476166,-6.237467,0.530079,0.240081,-0.129152,-0.371155,-0.000000,0.000000,21.761540,-24.067526,-29.578207,-11.807083,2.754894,-0.111716,-0.717932,-0.228167,0.820651,0.765383,1.133004,-1.821369,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411119589557,0.562735,0.208096,1.260175,-2.885828,-37.483757,-6.237468,0.581113,0.222206,1.259636,-3.248711,-37.476159,-6.237467,0.529287,0.241665,-0.132322,-0.373053,-0.000000,0.000000,21.817664,-24.354377,-29.559011,-11.803388,2.754170,-0.111665,-0.717898,-0.228591,0.820640,0.764903,1.133329,-1.821332,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411120590792,0.563263,0.208345,1.260046,-2.886196,-37.483758,-6.237469,0.581622,0.222427,1.259571,-3.249195,-37.476153,-6.237467,0.527702,0.237704,-0.128360,-0.368307,-0.000000,0.000000,21.964183,-23.677891,-29.447589,-11.779846,2.729758,-0.111790,-0.717869,-0.229035,0.820611,0.764471,1.133671,-1.821234,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411121560483,0.563790,0.208571,1.259919,-2.886576,-37.483757,-6.237467,0.582131,0.222647,1.259507,-3.249679,-37.476147,-6.237467,0.527702,0.238496,-0.127568,-0.379698,-0.000000,0.000000,21.877598,-23.908400,-29.484265,-11.779067,2.741292,-0.111480,-0.717830,-0.229472,0.820600,0.763985,1.134000,-1.821185,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
5411122590891,0.564319,0.208809,1.259798,-2.886951,-37.483759,-6.237467,0.582639,0.222867,1.259443,-3.250162,-37.476141,-6.237467,0.528494,0.237704,-0.129152,-0.374952,-0.000000,0.000000,21.646813,-23.747301,-29.387585,-11.770941,2.734563,-0.111712,-0.717796,-0.229913,0.820575,0.763535,1.134342,-1.821102,-0.666056,0.088276,0.365928,1.786546,1.362927,-0.879561,5
