timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
576745446530011,-9.336886,-0.010170,7.291717,3.053094,-1.569196,0.000001,-9.337083,-0.008874,7.290275,3.053175,-1.569211,-0.000151,0.004754,0.018224,0.006339,0.002848,-0.000000,0.000000,-1.280931,3.849504,-15.011183,-4.315274,2.180264,-0.000646,0.420095,-0.162688,0.761955,4
576745447546905,-9.336885,-0.010148,7.291724,3.053098,-1.569193,0.000002,-9.337098,-0.008758,7.290157,3.053183,-1.569212,-0.000163,-0.000000,0.022186,0.007131,0.004746,0.002848,0.000000,-0.946737,2.981130,-15.285510,-4.344425,2.186471,-0.000812,0.420107,-0.162686,0.761943,4
576745448503825,-9.336881,-0.010126,7.291727,3.053102,-1.569191,0.000001,-9.337113,-0.008642,7.290039,3.053191,-1.569214,-0.000176,0.004754,0.022978,0.003169,0.003797,-0.000000,0.000000,-1.333190,3.113123,-15.209900,-4.381472,2.168712,-0.000617,0.420118,-0.162682,0.761933,4
576745449551108,-9.336878,-0.010104,7.291735,3.053108,-1.569192,0.000001,-9.337128,-0.008527,7.289920,3.053199,-1.569215,-0.000189,0.002377,0.022186,0.005546,0.005695,0.002848,0.000000,-1.161309,3.387183,-15.197465,-4.352232,2.186378,-0.000712,0.420129,-0.162679,0.761919,4
576745450550550,-9.336876,-0.010077,7.291742,3.053108,-1.569190,0.000000,-9.337143,-0.008411,7.289802,3.053207,-1.569217,-0.000202,0.002377,0.026940,0.005546,-0.000000,-0.000000,0.000000,-1.186271,2.350920,-15.505756,-4.429285,2.179993,-0.000683,0.420143,-0.162677,0.761906,4
576745451503458,-9.336876,-0.010051,7.291745,3.053114,-1.569190,0.000001,-9.337158,-0.008295,7.289684,3.053215,-1.569218,-0.000215,-0.000000,0.027732,0.003962,0.004746,-0.000000,0.000000,-1.021866,2.378095,-15.496596,-4.411951,2.185718,-0.000775,0.420155,-0.162674,0.761893,4
576745452549913,-9.336874,-0.010019,7.291752,3.053116,-1.569188,0.000001,-9.337173,-0.008180,7.289565,3.053223,-1.569220,-0.000227,-0.000000,0.030109,0.003962,0.002848,-0.000000,-0.002848,-1.044374,1.920642,-15.646278,-4.452052,2.183564,-0.000742,0.420171,-0.162671,0.761877,4
576745453551457,-9.336875,-0.009989,7.291754,3.053119,-1.569186,0.000002,-9.337188,-0.008064,7.289447,3.053232,-1.569221,-0.000240,-0.000000,0.030109,0.002377,0.002848,-0.000000,0.000000,-1.047990,2.155978,-15.573399,-4.432385,2.184765,-0.000759,0.420185,-0.162670,0.761864,4
576745454530237,-9.336874,-0.009958,7.291758,3.053121,-1.569185,0.000002,-9.337203,-0.007948,7.289328,3.053240,-1.569223,-0.000253,-0.000000,0.031694,0.003962,0.002848,-0.000000,0.000000,-1.074338,1.817007,-15.723004,-4.474976,2.188875,-0.000747,0.420200,-0.162668,0.761850,4
576745455549137,-9.336874,-0.009924,7.291759,3.053120,-1.569185,0.000000,-9.337218,-0.007833,7.289210,3.053248,-1.569225,-0.000266,-0.000000,0.030901,0.003169,-0.000000,-0.000000,-0.002848,-1.065319,2.230929,-15.608318,-4.435018,2.194272,-0.000733,0.420215,-0.162667,0.761835,4
576745456508375,-9.336874,-0.009888,7.291760,3.053121,-1.569184,0.000003,-9.337233,-0.007717,7.289091,3.053256,-1.569226,-0.000279,-0.000000,0.033279,0.000000,-0.000000,-0.000000,0.002848,-1.083937,1.905210,-15.663746,-4.455551,2.184107,-0.000754,0.420233,-0.162665,0.761820,4
